molecule,prec,MPI,OMP,Localize,SCF energy,Helmholtz,Lowdin,KAIN,Fock operator,Fock matrix,Total SCF

ch4_010,5,008,08,3.14582e+01,6.70795e+00,76.5014,7.08564e+00,2.28548e+00,2.66156e+01,1.34196e+01,1.69411e+02
ch4_010,5,008,16,3.04033e+01,4.49875e+00,47.2556,6.69757e+00,2.06230e+00,1.55298e+01,1.08753e+01,1.22177e+02
ch4_010,5,008,32,3.85001e+01,6.51523e+00,47.0701,7.88060e+00,2.79664e+00,1.30386e+01,1.17952e+01,1.32322e+02
ch4_010,5,016,08,1.87087e+01,4.08303e+00,36.0782,1.01939e+01,1.62605e+00,2.71400e+01,9.03526e+00,1.11948e+02
ch4_010,5,016,16,1.62533e+01,2.45953e+00,21.8744,8.11188e+00,1.18068e+00,1.60402e+01,7.16203e+00,7.77284e+01
ch4_010,5,016,32,2.11310e+01,3.54719e+00,22.2228,8.96129e+00,1.81255e+00,1.43509e+01,7.24821e+00,8.41698e+01
ch4_010,5,032,08,1.57797e+01,2.40600e+00,24.5444,8.43745e+00,1.60091e+00,2.96411e+01,7.17675e+00,9.47767e+01
ch4_010,5,032,16,1.32457e+01,1.84705e+00,15.6338,6.80854e+00,1.16838e+00,1.91708e+01,5.42911e+00,6.81663e+01
ch4_010,5,032,32,1.73723e+01,2.33518e+00,14.9746,7.81169e+00,1.61523e+00,1.86066e+01,5.42768e+00,7.30892e+01

ch4_020,5,008,08,9.51426e+01,1.30445e+01,198.818,2.70422e+01,4.44750e+00,5.42795e+01,3.29208e+01,4.49178e+02
ch4_020,5,008,16,8.32026e+01,9.07483e+00,116.52,2.27872e+01,4.77071e+00,2.97153e+01,2.40842e+01,3.09870e+02
ch4_020,5,008,32,9.31237e+01,9.84756e+00,112.263,2.24817e+01,4.90400e+00,2.29486e+01,2.68515e+01,3.14689e+02
ch4_020,5,016,08,6.14744e+01,6.57705e+00,84.9587,2.00635e+01,2.39197e+00,4.62771e+01,1.92519e+01,2.58763e+02
ch4_020,5,016,16,4.88727e+01,4.33880e+00,54.4925,1.61928e+01,1.75233e+00,2.83519e+01,1.41163e+01,1.83731e+02
ch4_020,5,016,32,5.69408e+01,5.35058e+00,52.3655,1.80757e+01,2.23786e+00,2.44005e+01,1.59625e+01,1.89985e+02
ch4_020,5,032,08,4.13135e+01,3.56988e+00,42.3449,2.24902e+01,4.00043e+00,5.10830e+01,1.48763e+01,1.90751e+02
ch4_020,5,032,16,3.42733e+01,2.62263e+00,27.9799,1.70881e+01,4.72767e+00,3.27283e+01,1.07688e+01,1.38917e+02
ch4_020,5,032,32,4.05259e+01,3.35784e+00,28.7629,1.71082e+01,1.73884e+00,3.14623e+01,1.04871e+01,1.46051e+02
ch4_020,5,064,08,3.49914e+01,3.40283e+00,31.5544,2.13205e+01,1.91065e+00,6.08505e+01,1.23037e+01,1.78794e+02
ch4_020,5,064,16,2.99246e+01,2.33280e+00,21.2647,1.63970e+01,1.58347e+00,4.12911e+01,9.91953e+00,1.34008e+02
ch4_020,5,064,32,3.43767e+01,2.52395e+00,21.5367,1.79517e+01,1.40410e+00,4.61970e+01,8.74711e+00,1.44390e+02

ch4_030,5,008,08,2.63335e+02,2.01657e+01,338.312,6.17126e+01,6.37061e+00,7.99960e+01,5.68891e+01,8.84489e+02
ch4_030,5,008,16,2.31764e+02,1.32889e+01,221.597,5.12011e+01,5.16242e+00,4.42760e+01,3.92638e+01,6.60752e+02
ch4_030,5,008,32,2.44702e+02,1.48970e+01,199.073,4.43346e+01,5.52794e+00,3.53321e+01,4.30421e+01,6.38993e+02
ch4_030,5,016,16,1.29982e+02,8.03894e+00,98.3928,3.57385e+01,6.24466e+00,4.37735e+01,2.40581e+01,3.77295e+02
ch4_030,5,016,32,1.44472e+02,9.81778e+00,96.3886,3.06554e+01,4.68157e+00,3.52330e+01,2.42462e+01,3.80555e+02
ch4_030,5,032,16,7.89912e+01,7.94014e+00,49.7563,2.55194e+01,3.55536e+00,4.73090e+01,1.61809e+01,2.49588e+02
ch4_030,5,032,32,9.11123e+01,1.02179e+01,53.0412,2.73512e+01,4.78280e+00,4.94689e+01,1.57422e+01,2.72372e+02
ch4_030,5,064,16,6.09618e+01,3.20671e+00,26.2244,2.51141e+01,1.44391e+00,5.82570e+01,1.42371e+01,2.06983e+02
ch4_030,5,064,32,6.74808e+01,3.57795e+00,26.8995,2.56089e+01,1.76511e+00,6.53953e+01,1.27546e+01,2.22908e+02

ch4_040,5,008,32,4.74259e+02,2.04885e+01,329.843,7.10036e+01,7.75724e+00,4.26996e+01,5.98231e+01,1.10069e+03
ch4_040,5,016,32,2.87797e+02,1.10125e+01,154.649,4.42141e+01,5.78658e+00,4.76620e+01,3.57213e+01,6.47951e+02
ch4_040,5,032,32,1.83288e+02,5.86450e+00,85.7402,3.90732e+01,2.58130e+00,6.07014e+01,2.04436e+01,4.41299e+02
ch4_040,5,064,32,1.24948e+02,6.63938e+00,44.6629,4.01332e+01,4.39251e+00,8.56467e+01,1.68338e+01,3.52633e+02
