molecule,prec,MPI,OMP,Lowdin matrix,Rotation,Total Lowdin

ch4_010,5,008,08,1.09506e+00,5.99051e+00,7.08564e+00
ch4_010,5,008,16,1.13879e+00,5.55870e+00,6.69757e+00
ch4_010,5,008,32,2.07198e+00,5.80853e+00,7.88060e+00
ch4_010,5,016,08,5.39976e+00,4.79411e+00,1.01939e+01
ch4_010,5,016,16,3.80765e+00,4.30417e+00,8.11188e+00
ch4_010,5,016,32,4.49641e+00,4.46480e+00,8.96129e+00
ch4_010,5,032,08,3.25141e+00,5.18598e+00,8.43745e+00
ch4_010,5,032,16,2.33686e+00,4.47160e+00,6.80854e+00
ch4_010,5,032,32,2.90284e+00,4.90876e+00,7.81169e+00

ch4_020,5,008,08,2.87796e+00,2.41641e+01,2.70422e+01
ch4_020,5,008,16,2.71697e+00,2.00701e+01,2.27872e+01
ch4_020,5,008,32,3.57487e+00,1.89068e+01,2.24817e+01
ch4_020,5,016,08,4.24437e+00,1.58190e+01,2.00635e+01
ch4_020,5,016,16,3.11166e+00,1.30811e+01,1.61928e+01
ch4_020,5,016,32,3.79381e+00,1.42818e+01,1.80757e+01
ch4_020,5,032,08,1.01912e+01,1.22989e+01,2.24902e+01
ch4_020,5,032,16,6.54009e+00,1.05479e+01,1.70881e+01
ch4_020,5,032,32,5.13237e+00,1.19757e+01,1.71082e+01
ch4_020,5,064,08,8.84865e+00,1.24718e+01,2.13205e+01
ch4_020,5,064,16,4.99314e+00,1.14038e+01,1.63970e+01
ch4_020,5,064,32,5.81550e+00,1.21361e+01,1.79517e+01

ch4_030,5,008,08,5.15490e+00,5.65577e+01,6.17126e+01
ch4_030,5,008,16,5.28257e+00,4.59184e+01,5.12011e+01
ch4_030,5,008,32,6.21517e+00,3.81193e+01,4.43346e+01
ch4_030,5,016,16,9.28457e+00,2.64539e+01,3.57385e+01
ch4_030,5,016,32,6.80468e+00,2.38506e+01,3.06554e+01
ch4_030,5,032,16,6.89975e+00,1.86196e+01,2.55194e+01
ch4_030,5,032,32,7.27807e+00,2.00731e+01,2.73512e+01
ch4_030,5,064,16,9.11051e+00,1.60035e+01,2.51141e+01
ch4_030,5,064,32,8.21685e+00,1.73919e+01,2.56089e+01

ch4_040,5,008,32,8.25696e+00,6.27465e+01,7.10036e+01
ch4_040,5,016,32,4.64482e+00,3.95692e+01,4.42141e+01
ch4_040,5,032,32,3.46060e+00,3.56125e+01,3.90732e+01
ch4_040,5,064,32,1.20799e+01,2.80532e+01,4.01332e+01
