molecule,MPI,OMP,Rotation,Apply,Total Helmholtz
caffeine,001,01,2.40729e+02,5.92296e+03,6163.69
caffeine,001,02,1.48177e+02,2.91305e+03,3061.23
caffeine,001,04,1.00803e+02,1.48563e+03,1586.43
caffeine,001,08,8.24526e+01,7.89548e+02,872.001
caffeine,001,16,7.42515e+01,4.64154e+02,538.405
caffeine,002,01,1.09834e+02,3.02136e+03,3131.19
caffeine,002,16,3.47811e+01,2.40673e+02,275.454
caffeine,004,01,6.11841e+01,1.51807e+03,1579.25
caffeine,004,16,1.80940e+01,1.11901e+02,129.995
caffeine,008,01,3.88681e+01,7.84405e+02,823.273
caffeine,008,16,1.23475e+01,6.18884e+01,74.2359
caffeine,016,01,2.56765e+01,2.97332e+02,323.008
caffeine,016,16,8.15112e+00,2.59183e+01,34.0694
caffeine,032,01,2.34981e+01,1.36798e+02,160.296
