molecule,MPI,OMP,Lowdin matrix,Rotation,Total Lowdin
caffeine,001,01,1.28643e+01,5.81001e+01,7.09645e+01
caffeine,001,02,1.24367e+01,3.35774e+01,4.60141e+01
caffeine,001,05,1.26025e+01,2.08890e+01,3.34915e+01
caffeine,001,10,1.29069e+01,1.64378e+01,2.93447e+01
caffeine,001,20,1.23767e+01,1.65025e+01,2.88793e+01
caffeine,001,40,1.39527e+01,1.57278e+01,2.96806e+01
caffeine,002,01,1.04722e+01,4.26760e+01,5.31483e+01
caffeine,002,02,9.84598e+00,2.64994e+01,3.63454e+01
caffeine,002,05,1.04093e+01,1.73030e+01,2.77124e+01
caffeine,002,10,1.02456e+01,1.49315e+01,2.51772e+01
caffeine,002,20,1.08746e+01,1.36159e+01,2.44906e+01
caffeine,002,40,1.11108e+01,1.23624e+01,2.34733e+01
caffeine,004,01,5.42215e+01,3.06510e+01,8.48726e+01
caffeine,004,02,3.45719e+01,1.95937e+01,5.41657e+01
caffeine,004,05,1.39542e+01,1.31684e+01,2.71226e+01
caffeine,004,10,8.81496e+00,1.16732e+01,2.04882e+01
caffeine,004,20,1.37330e+01,1.09198e+01,2.46529e+01
caffeine,004,40,5.91107e+00,1.12598e+01,1.71709e+01
caffeine,006,01,4.52341e+01,2.58632e+01,7.10974e+01
caffeine,006,02,1.99786e+01,1.74890e+01,3.74677e+01
caffeine,006,05,1.05920e+01,1.28459e+01,2.34380e+01
caffeine,006,10,3.67746e+00,1.03288e+01,1.40063e+01
caffeine,006,20,6.39532e+00,9.54231e+00,1.59377e+01
caffeine,006,40,6.51111e+00,9.40413e+00,1.59153e+01
caffeine,008,01,1.84056e+01,2.43250e+01,4.27307e+01
caffeine,008,02,1.12918e+01,1.61818e+01,2.74737e+01
caffeine,008,05,8.52180e+00,1.21891e+01,2.07110e+01
caffeine,008,10,5.64799e+00,1.02666e+01,1.59146e+01
caffeine,008,20,4.83922e+00,9.02220e+00,1.38615e+01
caffeine,010,01,3.20423e+00,2.32305e+01,2.64349e+01
caffeine,010,02,3.26956e+00,1.59181e+01,1.91877e+01
caffeine,010,05,8.72882e+00,1.16485e+01,2.03774e+01
caffeine,010,10,4.71813e+00,9.54890e+00,1.42671e+01
caffeine,010,20,2.79551e+00,8.54372e+00,1.13393e+01
caffeine,012,01,3.93434e+01,2.26384e+01,6.19820e+01
caffeine,012,02,2.23720e+01,1.54815e+01,3.78535e+01
caffeine,012,05,1.36058e+01,1.18705e+01,2.54764e+01
caffeine,012,10,1.14964e+01,1.01798e+01,2.16763e+01
caffeine,012,20,5.72700e+00,8.83200e+00,1.45591e+01
caffeine,014,01,4.06448e+01,2.05105e+01,6.11554e+01
caffeine,014,02,2.26882e+01,1.59268e+01,3.86150e+01
caffeine,014,05,1.22990e+01,1.15993e+01,2.38983e+01
caffeine,014,10,9.26172e+00,8.75382e+00,1.80156e+01
caffeine,016,01,4.02250e+01,2.21242e+01,6.23493e+01
caffeine,016,02,2.42566e+01,1.45882e+01,3.88449e+01
caffeine,016,05,1.33426e+01,1.13734e+01,2.47161e+01
caffeine,016,10,6.84737e+00,9.72176e+00,1.65692e+01
caffeine,018,01,2.32304e+01,2.04500e+01,4.36805e+01
caffeine,018,02,1.63653e+01,1.48339e+01,3.11993e+01
caffeine,020,01,3.03051e+01,2.10436e+01,5.13488e+01
caffeine,020,02,1.70256e+01,1.69547e+01,3.39805e+01
