molecule,MPI,OMP,Position matrix,Foster-Boys,Rotation,Total localize
caffeine,001,01,3.97171e+02,5.97301e-01,6.39323e+01,4.73084e+02
caffeine,001,02,2.40622e+02,3.78196e-01,3.83463e+01,2.92370e+02
caffeine,001,05,1.45178e+02,2.75079e-01,2.33353e+01,1.81630e+02
caffeine,001,10,1.12749e+02,2.42352e-01,1.83459e+01,1.44373e+02
caffeine,001,16,1.00544e+02,2.37904e-01,1.80120e+01,1.31688e+02
caffeine,002,01,2.14604e+02,5.95201e-01,4.12568e+01,2.64869e+02
caffeine,002,02,1.31051e+02,3.62337e-01,2.59907e+01,1.65850e+02
caffeine,002,05,8.33932e+01,2.64376e-01,1.77581e+01,1.09839e+02
caffeine,002,10,7.27635e+01,2.40328e-01,1.54047e+01,1.00185e+02
caffeine,002,20,6.48204e+01,2.10201e-01,1.36757e+01,8.94136e+01
caffeine,004,01,1.24852e+02,6.54025e-01,3.32897e+01,1.64526e+02
caffeine,004,02,7.57051e+01,3.74489e-01,2.07192e+01,1.02411e+02
caffeine,004,05,5.00558e+01,2.74912e-01,1.61866e+01,7.21752e+01
caffeine,004,10,3.72075e+01,2.12366e-01,1.21529e+01,5.46233e+01
caffeine,004,20,3.85888e+01,2.93570e-01,1.14393e+01,5.62206e+01
caffeine,008,01,6.90548e+01,6.14537e-01,2.26310e+01,9.77182e+01
caffeine,008,02,4.59624e+01,3.97701e-01,1.64719e+01,6.80288e+01
caffeine,008,05,2.72314e+01,2.54126e-01,1.21250e+01,4.40205e+01
caffeine,008,10,2.20399e+01,2.12072e-01,1.00921e+01,3.67230e+01
caffeine,008,20,2.27119e+01,1.94555e-01,9.44737e+00,3.68973e+01
caffeine,016,01,4.17336e+01,6.27012e-01,2.30783e+01,7.14947e+01
caffeine,016,02,2.93832e+01,3.98633e-01,1.76386e+01,5.34706e+01
caffeine,016,05,2.05549e+01,2.53796e-01,1.48572e+01,4.18001e+01
caffeine,016,10,1.53328e+01,2.11378e-01,1.10174e+01,3.13309e+01
caffeine,016,20,1.45399e+01,1.96030e-01,1.00218e+01,2.87354e+01
caffeine,032,01,3.41036e+01,5.89582e-01,2.25992e+01,6.31694e+01
caffeine,032,02,2.41581e+01,3.73335e-01,1.66873e+01,4.70160e+01
caffeine,032,05,1.77823e+01,2.53135e-01,1.30196e+01,3.66707e+01
caffeine,032,10,1.29296e+01,2.12480e-01,1.16751e+01,2.99532e+01
caffeine,032,20,1.17782e+01,1.93876e-01,1.08741e+01,2.72734e+01
